#         zi	             Dl	             mu
      0.0001	       0.428285	        23.1587
 0.000101037	       0.432728	        23.1811
 0.000102085	       0.437217	        23.2035
 0.000103144	       0.441753	        23.2259
 0.000104214	       0.446335	        23.2483
 0.000105295	       0.450965	        23.2707
 0.000106387	       0.455643	        23.2931
 0.000107491	        0.46037	        23.3155
 0.000108606	       0.465146	        23.3379
 0.000109732	       0.469971	        23.3604
 0.000110871	       0.474846	        23.3828
 0.000112021	       0.479772	        23.4052
 0.000113182	       0.484749	        23.4276
 0.000114356	       0.489778	          23.45
 0.000115543	       0.494858	        23.4724
 0.000116741	       0.499992	        23.4948
 0.000117952	       0.505179	        23.5172
 0.000119176	       0.510419	        23.5396
 0.000120412	       0.515714	         23.562
 0.000121661	       0.521064	        23.5845
 0.000122923	       0.526469	        23.6069
 0.000124198	       0.531931	        23.6293
 0.000125486	       0.537449	        23.6517
 0.000126788	       0.543024	        23.6741
 0.000128103	       0.548657	        23.6965
 0.000129432	       0.554349	        23.7189
 0.000130774	         0.5601	        23.7413
 0.000132131	        0.56591	        23.7637
 0.000133501	       0.571781	        23.7861
 0.000134886	       0.577712	        23.8086
 0.000136285	       0.583705	         23.831
 0.000137699	        0.58976	        23.8534
 0.000139127	       0.595878	        23.8758
  0.00014057	        0.60206	        23.8982
 0.000142028	       0.608306	        23.9206
 0.000143501	       0.614616	         23.943
  0.00014499	       0.620992	        23.9654
 0.000146494	       0.627434	        23.9878
 0.000148013	       0.633943	        24.0103
 0.000149549	        0.64052	        24.0327
   0.0001511	       0.647164	        24.0551
 0.000152667	       0.653878	        24.0775
 0.000154251	       0.660661	        24.0999
 0.000155851	       0.667515	        24.1223
 0.000157467	        0.67444	        24.1447
 0.000159101	       0.681436	        24.1671
 0.000160751	       0.688506	        24.1895
 0.000162418	       0.695648	        24.2119
 0.000164103	       0.702865	        24.2344
 0.000165805	       0.710156	        24.2568
 0.000167525	       0.717524	        24.2792
 0.000169263	       0.724967	        24.3016
 0.000171019	       0.732488	         24.324
 0.000172793	       0.740087	        24.3464
 0.000174585	       0.747765	        24.3688
 0.000176396	       0.755522	        24.3912
 0.000178225	        0.76336	        24.4136
 0.000180074	       0.771279	        24.4361
 0.000181942	       0.779281	        24.4585
 0.000183829	       0.787365	        24.4809
 0.000185736	       0.795533	        24.5033
 0.000187663	       0.803786	        24.5257
 0.000189609	       0.812125	        24.5481
 0.000191576	        0.82055	        24.5705
 0.000193563	       0.829063	        24.5929
 0.000195571	       0.837664	        24.6153
 0.000197599	       0.846354	        24.6378
 0.000199649	       0.855134	        24.6602
  0.00020172	       0.864006	        24.6826
 0.000203812	       0.872969	         24.705
 0.000205926	       0.882026	        24.7274
 0.000208062	       0.891176	        24.7498
 0.000210221	       0.900422	        24.7722
 0.000212401	       0.909763	        24.7946
 0.000214604	       0.919201	        24.8171
  0.00021683	       0.928737	        24.8395
  0.00021908	       0.938373	        24.8619
 0.000221352	       0.948108	        24.8843
 0.000223648	       0.957944	        24.9067
 0.000225968	       0.967882	        24.9291
 0.000228312	       0.977923	        24.9515
  0.00023068	       0.988069	        24.9739
 0.000233073	        0.99832	        24.9963
  0.00023549	        1.00868	        25.0188
 0.000237933	        1.01914	        25.0412
 0.000240401	        1.02971	        25.0636
 0.000242895	         1.0404	         25.086
 0.000245414	        1.05119	        25.1084
  0.00024796	         1.0621	        25.1308
 0.000250532	        1.07312	        25.1532
  0.00025313	        1.08425	        25.1756
 0.000255756	         1.0955	        25.1981
 0.000258409	        1.10686	        25.2205
 0.000261089	        1.11835	        25.2429
 0.000263797	        1.12995	        25.2653
 0.000266534	        1.14167	        25.2877
 0.000269298	        1.15352	        25.3101
 0.000272092	        1.16549	        25.3325
 0.000274914	        1.17758	        25.3549
 0.000277766	        1.18979	        25.3774
 0.000280647	        1.20214	        25.3998
 0.000283558	        1.21461	        25.4222
 0.000286499	        1.22721	        25.4446
 0.000289471	        1.23995	         25.467
 0.000292474	        1.25281	        25.4894
 0.000295507	        1.26581	        25.5118
 0.000298573	        1.27894	        25.5343
  0.00030167	        1.29221	        25.5567
 0.000304799	        1.30562	        25.5791
  0.00030796	        1.31916	        25.6015
 0.000311155	        1.33285	        25.6239
 0.000314382	        1.34668	        25.6463
 0.000317643	        1.36065	        25.6687
 0.000320938	        1.37477	        25.6911
 0.000324267	        1.38903	        25.7136
 0.000327631	        1.40344	         25.736
 0.000331029	          1.418	        25.7584
 0.000334463	        1.43272	        25.7808
 0.000337932	        1.44758	        25.8032
 0.000341437	         1.4626	        25.8256
 0.000344979	        1.47778	         25.848
 0.000348557	        1.49311	        25.8705
 0.000352173	         1.5086	        25.8929
 0.000355826	        1.52425	        25.9153
 0.000359516	        1.54007	        25.9377
 0.000363246	        1.55605	        25.9601
 0.000367013	        1.57219	        25.9825
  0.00037082	         1.5885	        26.0049
 0.000374667	        1.60499	        26.0274
 0.000378553	        1.62164	        26.0498
  0.00038248	        1.63847	        26.0722
 0.000386447	        1.65547	        26.0946
 0.000390456	        1.67264	         26.117
 0.000394506	           1.69	        26.1394
 0.000398598	        1.70753	        26.1618
 0.000402732	        1.72525	        26.1843
  0.00040691	        1.74315	        26.2067
  0.00041113	        1.76124	        26.2291
 0.000415395	        1.77951	        26.2515
 0.000419704	        1.79798	        26.2739
 0.000424057	        1.81663	        26.2963
 0.000428456	        1.83548	        26.3188
   0.0004329	        1.85453	        26.3412
  0.00043739	        1.87377	        26.3636
 0.000441927	        1.89321	         26.386
 0.000446511	        1.91286	        26.4084
 0.000451143	        1.93271	        26.4308
 0.000455822	        1.95276	        26.4532
  0.00046055	        1.97302	        26.4757
 0.000465328	         1.9935	        26.4981
 0.000470154	        2.01418	        26.5205
 0.000475031	        2.03508	        26.5429
 0.000479958	         2.0562	        26.5653
 0.000484937	        2.07754	        26.5877
 0.000489967	         2.0991	        26.6102
 0.000495049	        2.12088	        26.6326
 0.000500184	        2.14288	         26.655
 0.000505373	        2.16512	        26.6774
 0.000510615	        2.18759	        26.6998
 0.000515911	        2.21029	        26.7222
 0.000521262	        2.23322	        26.7447
 0.000526669	         2.2564	        26.7671
 0.000532132	        2.27981	        26.7895
 0.000537652	        2.30347	        26.8119
 0.000543229	        2.32737	        26.8343
 0.000548864	        2.35153	        26.8567
 0.000554557	        2.37593	        26.8792
 0.000560309	        2.40058	        26.9016
 0.000566121	        2.42549	         26.924
 0.000571993	        2.45066	        26.9464
 0.000577926	         2.4761	        26.9688
 0.000583921	        2.50179	        26.9913
 0.000589978	        2.52775	        27.0137
 0.000596097	        2.55399	        27.0361
 0.000602281	        2.58049	        27.0585
 0.000608528	        2.60727	        27.0809
  0.00061484	        2.63433	        27.1033
 0.000621218	        2.66167	        27.1258
 0.000627661	        2.68929	        27.1482
 0.000634172	         2.7172	        27.1706
  0.00064075	         2.7454	         27.193
 0.000647396	        2.77389	        27.2154
 0.000654111	        2.80267	        27.2379
 0.000660896	        2.83176	        27.2603
 0.000667752	        2.86115	        27.2827
 0.000674678	        2.89084	        27.3051
 0.000681676	        2.92084	        27.3275
 0.000688747	        2.95116	          27.35
 0.000695891	        2.98179	        27.3724
 0.000703109	        3.01273	        27.3948
 0.000710403	          3.044	        27.4172
 0.000717771	        3.07559	        27.4396
 0.000725217	        3.10751	        27.4621
 0.000732739	        3.13976	        27.4845
  0.00074034	        3.17235	        27.5069
 0.000748019	        3.20527	        27.5293
 0.000755778	        3.23854	        27.5517
 0.000763617	        3.27215	        27.5742
 0.000771538	        3.30612	        27.5966
 0.000779541	        3.34043	         27.619
 0.000787627	         3.3751	        27.6414
 0.000795797	        3.41013	        27.6639
 0.000804051	        3.44552	        27.6863
 0.000812392	        3.48129	        27.7087
 0.000820818	        3.51742	        27.7311
 0.000829332	        3.55393	        27.7535
 0.000837935	        3.59082	         27.776
 0.000846626	        3.62809	        27.7984
 0.000855408	        3.66575	        27.8208
 0.000864281	         3.7038	        27.8432
 0.000873246	        3.74224	        27.8657
 0.000882304	        3.78108	        27.8881
 0.000891456	        3.82033	        27.9105
 0.000900703	        3.85999	        27.9329
 0.000910045	        3.90005	        27.9554
 0.000919485	        3.94054	        27.9778
 0.000929022	        3.98144	        28.0002
 0.000938659	        4.02277	        28.0226
 0.000948395	        4.06453	         28.045
 0.000958233	        4.10672	        28.0675
 0.000968172	        4.14935	        28.0899
 0.000978215	        4.19242	        28.1123
 0.000988362	        4.23594	        28.1347
 0.000998614	        4.27991	        28.1572
  0.00100897	        4.32434	        28.1796
  0.00101944	        4.36923	         28.202
  0.00103001	        4.41459	        28.2245
   0.0010407	        4.46042	        28.2469
  0.00105149	        4.50672	        28.2693
   0.0010624	        4.55351	        28.2917
  0.00107342	        4.60078	        28.3142
  0.00108455	        4.64854	        28.3366
   0.0010958	         4.6968	         28.359
  0.00110717	        4.74556	        28.3814
  0.00111865	        4.79483	        28.4039
  0.00113026	        4.84461	        28.4263
  0.00114198	         4.8949	        28.4487
  0.00115382	        4.94572	        28.4711
  0.00116579	        4.99707	        28.4936
  0.00117789	        5.04895	         28.516
   0.0011901	        5.10137	        28.5384
  0.00120245	        5.15434	        28.5609
  0.00121492	        5.20785	        28.5833
  0.00122752	        5.26192	        28.6057
  0.00124026	        5.31655	        28.6282
  0.00125312	        5.37176	        28.6506
  0.00126612	        5.42753	         28.673
  0.00127925	        5.48388	        28.6954
  0.00129252	        5.54082	        28.7179
  0.00130593	        5.59836	        28.7403
  0.00131947	        5.65649	        28.7627
  0.00133316	        5.71522	        28.7852
  0.00134699	        5.77456	        28.8076
  0.00136096	        5.83453	          28.83
  0.00137508	        5.89511	        28.8525
  0.00138934	        5.95632	        28.8749
  0.00140375	        6.01817	        28.8973
  0.00141831	        6.08067	        28.9198
  0.00143302	        6.14381	        28.9422
  0.00144789	        6.20761	        28.9646
  0.00146291	        6.27207	        28.9871
  0.00147808	        6.33721	        29.0095
  0.00149341	        6.40302	        29.0319
   0.0015089	        6.46951	        29.0544
  0.00152456	         6.5367	        29.0768
  0.00154037	        6.60458	        29.0992
  0.00155635	        6.67317	        29.1217
  0.00157249	        6.74248	        29.1441
   0.0015888	         6.8125	        29.1665
  0.00160528	        6.88325	         29.189
  0.00162193	        6.95474	        29.2114
  0.00163876	        7.02697	        29.2338
  0.00165575	        7.09996	        29.2563
  0.00167293	         7.1737	        29.2787
  0.00169028	        7.24821	        29.3012
  0.00170781	        7.32349	        29.3236
  0.00172553	        7.39956	         29.346
  0.00174343	        7.47641	        29.3685
  0.00176151	        7.55407	        29.3909
  0.00177978	        7.63253	        29.4133
  0.00179824	        7.71181	        29.4358
   0.0018169	        7.79192	        29.4582
  0.00183574	        7.87286	        29.4807
  0.00185479	        7.95464	        29.5031
  0.00187402	        8.03727	        29.5255
  0.00189346	        8.12076	         29.548
   0.0019131	        8.20512	        29.5704
  0.00193295	        8.29036	        29.5929
    0.001953	        8.37648	        29.6153
  0.00197326	         8.4635	        29.6378
  0.00199372	        8.55143	        29.6602
   0.0020144	        8.64027	        29.6826
   0.0020353	        8.73003	        29.7051
  0.00205641	        8.82073	        29.7275
  0.00207774	        8.91237	          29.75
  0.00209929	        9.00497	        29.7724
  0.00212107	        9.09853	        29.7949
  0.00214307	        9.19306	        29.8173
   0.0021653	        9.28858	        29.8397
  0.00218776	        9.38509	        29.8622
  0.00221045	        9.48261	        29.8846
  0.00223338	        9.58114	        29.9071
  0.00225655	         9.6807	        29.9295
  0.00227995	        9.78129	         29.952
   0.0023036	        9.88293	        29.9744
   0.0023275	        9.98563	        29.9969
  0.00235164	        10.0894	        30.0193
  0.00237603	        10.1942	        30.0418
  0.00240068	        10.3002	        30.0642
  0.00242558	        10.4072	        30.0867
  0.00245074	        10.5154	        30.1091
  0.00247616	        10.6247	        30.1316
  0.00250184	        10.7351	         30.154
  0.00252779	        10.8467	        30.1765
  0.00255401	        10.9594	        30.1989
  0.00258051	        11.0733	        30.2214
  0.00260727	        11.1884	        30.2438
  0.00263432	        11.3047	        30.2663
  0.00266164	        11.4222	        30.2887
  0.00268925	        11.5409	        30.3112
  0.00271715	        11.6609	        30.3337
  0.00274533	        11.7821	        30.3561
  0.00277381	        11.9046	        30.3786
  0.00280258	        12.0283	         30.401
  0.00283165	        12.1533	        30.4235
  0.00286102	        12.2797	        30.4459
   0.0028907	        12.4073	        30.4684
  0.00292068	        12.5363	        30.4909
  0.00295098	        12.6667	        30.5133
  0.00298159	        12.7984	        30.5358
  0.00301251	        12.9314	        30.5582
  0.00304376	        13.0659	        30.5807
  0.00307533	        13.2017	        30.6032
  0.00310723	         13.339	        30.6256
  0.00313946	        13.4777	        30.6481
  0.00317203	        13.6178	        30.6705
  0.00320493	        13.7594	         30.693
  0.00323817	        13.9025	        30.7155
  0.00327176	        14.0471	        30.7379
   0.0033057	        14.1932	        30.7604
  0.00333999	        14.3408	        30.7829
  0.00337463	        14.4899	        30.8053
  0.00340964	        14.6406	        30.8278
    0.003445	        14.7929	        30.8503
  0.00348074	        14.9467	        30.8727
  0.00351684	        15.1022	        30.8952
  0.00355332	        15.2593	        30.9177
  0.00359018	         15.418	        30.9401
  0.00362742	        15.5784	        30.9626
  0.00366505	        15.7404	        30.9851
  0.00370306	        15.9042	        31.0076
  0.00374147	        16.0696	          31.03
  0.00378028	        16.2368	        31.0525
  0.00381949	        16.4057	         31.075
  0.00385911	        16.5764	        31.0974
  0.00389914	        16.7488	        31.1199
  0.00393959	        16.9231	        31.1424
  0.00398045	        17.0992	        31.1649
  0.00402174	        17.2771	        31.1874
  0.00406345	        17.4569	        31.2098
   0.0041056	        17.6385	        31.2323
  0.00414819	        17.8221	        31.2548
  0.00419122	        18.0075	        31.2773
  0.00423469	        18.1949	        31.2998
  0.00427862	        18.3843	        31.3222
    0.004323	        18.5756	        31.3447
  0.00436784	         18.769	        31.3672
  0.00441315	        18.9643	        31.3897
  0.00445892	        19.1617	        31.4122
  0.00450517	        19.3611	        31.4347
   0.0045519	        19.5627	        31.4571
  0.00459912	        19.7663	        31.4796
  0.00464682	        19.9721	        31.5021
  0.00469502	          20.18	        31.5246
  0.00474372	        20.3901	        31.5471
  0.00479293	        20.6024	        31.5696
  0.00484265	        20.8169	        31.5921
  0.00489288	        21.0336	        31.6146
  0.00494363	        21.2526	        31.6371
  0.00499491	        21.4739	        31.6596
  0.00504672	        21.6975	        31.6821
  0.00509907	        21.9235	        31.7045
  0.00515196	        22.1518	         31.727
   0.0052054	        22.3825	        31.7495
  0.00525939	        22.6156	         31.772
  0.00531395	        22.8512	        31.7945
  0.00536907	        23.0892	         31.817
  0.00542476	        23.3297	        31.8395
  0.00548103	        23.5727	         31.862
  0.00553788	        23.8182	        31.8845
  0.00559532	        24.0664	        31.9071
  0.00565336	        24.3171	        31.9296
    0.005712	        24.5704	        31.9521
  0.00577125	        24.8264	        31.9746
  0.00583111	        25.0851	        31.9971
   0.0058916	        25.3465	        32.0196
  0.00595271	        25.6106	        32.0421
  0.00601446	        25.8775	        32.0646
  0.00607684	        26.1472	        32.0871
  0.00613988	        26.4197	        32.1096
  0.00620356	         26.695	        32.1322
  0.00626791	        26.9733	        32.1547
  0.00633293	        27.2544	        32.1772
  0.00639861	        27.5385	        32.1997
  0.00646499	        27.8256	        32.2222
