###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_DH/JLA_mock.txt
#   sigma_mB_int_fac0   = 0.09
#   sigma_mB_int_fac1   = 0
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0.02
#	max redshift of sne = 1.29911
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
         0.503084       42.47331926      0.1265665018       42.27710689     1.0248783e-07   1.431369306e-08   1.227883726e-07
         0.580724        42.7074627      0.1283002643         42.652903   8.260663254e-08   1.026460005e-08   8.686379528e-08
         0.494795       42.24965576      0.1263941517       42.23383245   1.259324629e-07   1.487543516e-08   1.277812169e-07
         0.345928       41.32896518      0.1237336211       41.31426224   2.940450873e-07   3.396710288e-08   2.980541022e-07
         0.677662       42.84067052      0.1307581035       43.06067766   7.306876926e-08   7.185768598e-09   5.966627625e-08
         0.610712       42.81037598      0.1290265255       42.78552552   7.513626613e-08   9.135755604e-09    7.68758252e-08
         0.866494       43.79702361      0.1364150902       43.71587001    3.02824184e-08   4.100058849e-09   3.263262392e-08
         0.330932        41.1546103      0.1235124173       41.20217106   3.452676433e-07   3.759394276e-08   3.304696453e-07
         0.798566        43.3769192      0.1342539774        43.4976177   4.458947117e-08   4.933507132e-09   3.989816477e-08
         0.449562       42.09848328      0.1254979301       41.98509551   1.447460388e-07   1.857265709e-08   1.606799905e-07
         0.371443        41.5568859      0.1241300002       41.49509154   2.383667303e-07   2.884800745e-08   2.523268031e-07
         0.291718       40.94671459      0.1229755221       40.88536101   4.181327295e-07   5.011294796e-08   4.424412354e-07
          0.35582       41.36127407       0.123884312       41.38578113   2.854239233e-07   3.184047538e-08   2.790535488e-07
         0.461274       42.02938081      0.1257227549       42.05165589   1.542579924e-07   1.749956334e-08   1.511254625e-07
          0.28361       40.83485076      0.1228720629         40.815001   4.635106258e-07   5.342301922e-08   4.720626052e-07
         0.632234       42.71170365      0.1295667367       42.87697006   8.228459598e-08   8.432982086e-09   7.066623889e-08
         0.466414       42.20141148      0.1258230252       42.08037321   1.316544091e-07   1.705636651e-08     1.4718065e-07
         0.268624       40.79102671      0.1226876953       40.67994561     4.8260222e-07   6.040855468e-08   5.345911398e-07
          0.94689       44.08349015      0.1391448581       43.95361083   2.325969097e-08   3.359684617e-09   2.621535051e-08
         0.924917       44.11831832      0.1383808341       43.89065547   2.252540825e-08   3.540702495e-09   2.778035638e-08
         0.693165       43.06037961       0.131180287       43.12069797   5.968265789e-08   6.821267334e-09   5.645739216e-08
         0.625233       43.10962319      0.1293892827       42.84755097   5.703621846e-08   8.652738844e-09   7.260718692e-08
         0.896944       43.83882512      0.1374275748       43.80835597    2.91386852e-08   3.793212519e-09   2.996798982e-08
         0.608261       42.81184795      0.1289660052       42.77491903   7.503447041e-08   9.221112431e-09   7.763050117e-08
         0.789054       43.45328013      0.1339623841       43.46563014   4.156118735e-08   5.069982881e-09   4.109111679e-08
         0.578292       42.74453503      0.1282427292       42.64186642   7.983365019e-08   1.036482234e-08   8.775127401e-08
          0.59028       42.73943231      0.1285283252       42.69585166   8.020973362e-08   9.884025706e-09   8.349478247e-08
         0.719626        43.1749147       0.131918905       43.22024334   5.370739897e-08   6.258717973e-09   5.151131826e-08
         0.210032       40.10586511      0.1220529332       40.07515229    9.07097474e-07   1.048969804e-07   9.331234109e-07
          0.76659       43.24679505      0.1332847479       43.38858546   5.026688584e-08     5.4152929e-09   4.411292103e-08
         0.858513       43.46301893      0.1361541291       43.69110552   4.119006046e-08   4.186627197e-09     3.3385493e-08
         0.367904       41.28742645      0.1240735226       41.47070597   3.055128056e-07   2.948983925e-08   2.580581697e-07
         0.558746       42.48795326      0.1277878217       42.55154699   1.011157237e-07   1.122396623e-08   9.536328531e-08
         0.848509       43.62122198      0.1358296394       43.65974565   3.560501789e-08   4.299044756e-09     3.4363844e-08
          0.99639       44.15740099      0.1409139167       44.09033114   2.172899315e-08   2.999833233e-09   2.311359748e-08
         0.776594       43.68978293      0.1335846037       43.42316124   3.342618619e-08   5.257358452e-09   4.273025674e-08
         0.582932       42.60271891      0.1283526784       42.66288545   9.097298323e-08   1.017481298e-08   8.606881419e-08
         0.583743       42.69435287      0.1283719726       42.66654308   8.361012072e-08   1.014211807e-08   8.577935325e-08
