###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_temp/mock_snls3.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0.033
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0
#	max redshift of sne = 1.39
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
          0.01029       33.24387958      0.1283298412       33.23787407   0.0005040204612   5.990370862e-05   0.0005068160659
          0.01006       33.14241576      0.1283238174       33.18840585   0.0005533930433   6.269322517e-05   0.0005304417041
          0.01055       33.08598561      0.1283366533       33.29249032   0.0005829157041   5.696790697e-05   0.0004819520963
          0.01113       33.60876556      0.1283518597       33.40966432    0.000360158588   5.114605238e-05   0.0004326475745
           0.0109       33.50143673       0.128345828        33.3639402   0.0003975807114   5.334348115e-05   0.0004512569649
          0.01231       33.62015192      0.1283828398       33.63043027   0.0003564012626   4.174558477e-05   0.0003530432326
          0.01334       33.96423236      0.1284099287       33.80661981   0.0002596014163   3.549983698e-05   0.0003001594867
          0.01426       33.89720069      0.1284341615       33.95295516   0.0002761338981   3.102945677e-05   0.0002623118664
          0.01457       33.99009951      0.1284423348       34.00016594   0.0002534896292   2.971101544e-05    0.000251150255
          0.01443       33.81747051      0.1284386432       33.97896925    0.000297174675    3.02958882e-05   0.0002561016051
          0.01366       33.83613518      0.1284183535         33.858622   0.0002921096654   3.384184074e-05   0.0002861219656
           0.0147       34.04634323      0.1284457635       34.01966893   0.0002406925837   2.918286269e-05   0.0002466791408
          0.01354       33.88362628      0.1284151937       33.83926392   0.0002796079312   3.444978572e-05   0.0002912691133
          0.01557        34.2553321      0.1284687273       34.14595693   0.0001985487504     2.5983062e-05    0.000219592361
           0.0138       33.83578691      0.1284220407       33.88099479   0.0002922033813   3.315258006e-05   0.0002802864388
          0.01415        33.9904311      0.1284312623       33.93595847   0.0002534122237   3.151831868e-05    0.000266450544
          0.01515       34.03951839      0.1284576374       34.08588614   0.0002422103201   2.745877477e-05   0.0002320841836
          0.01446       33.97764161      0.1284394342       33.98352847    0.000256414957   3.016912219e-05   0.0002550284376
          0.01578       34.27572893      0.1284742749       34.17539415    0.000194853598    2.52891479e-05     0.00021371861
          0.01497       34.12591833      0.1284528869       34.05963575   0.0002236828404   2.812970965e-05   0.0002377637821
          0.01471       33.98751359      0.1284460273       34.02116209   0.0002540940897   2.914281647e-05   0.0002463401292
          0.01555       34.21652644       0.128468199       34.14313294   0.0002057734909   2.605062446e-05   0.0002201642613
          0.01549       34.16868951      0.1284666143       34.13463939   0.0002150424479   2.625488998e-05    0.000221893328
           0.0155       34.22701781      0.1284668784       34.13605724   0.0002037946954   2.622068034e-05   0.0002216037496
          0.01548       34.07604622      0.1284663502       34.13322064   0.0002341970989   2.628916616e-05   0.0002221834702
          0.01564       34.20876257      0.1284705763       34.15581272   0.0002072502069   2.574863821e-05   0.0002176080278
           0.0155       34.13030042      0.1284668784       34.13605724   0.0002227818628   2.622068034e-05   0.0002216037496
          0.01601       34.31273196       0.128480353       34.20719386   0.0001883246696   2.456036727e-05   0.0002075498652
          0.01697       34.42961417      0.1285057459       34.33522297   0.0001691041753   2.183277994e-05   0.0001844636555
          0.01737       34.35871996      0.1285163374        34.3864691   0.0001805144686   2.082794303e-05   0.0001759593548
          0.01706       34.23150024      0.1285081284       34.34685658   0.0002029550688   2.160049208e-05   0.0001824976878
           0.0175       34.36277624      0.1285197811       34.40287345   0.0001798413286   2.051616953e-05   0.0001733207749
          0.01745       34.32582495      0.1285184565       34.39657836   0.0001860672849   2.063525478e-05   0.0001743286047
          0.01768       34.32077078      0.1285245504       34.42538963   0.0001869354592   2.009582871e-05   0.0001697634322
          0.01858       34.48019586       0.128548417       34.53468135   0.0001614067358    1.81748098e-05   0.0001535067446
          0.01892       34.56754223      0.1285574419       34.57461497   0.0001489303146   1.751971001e-05   0.0001479633009
          0.01958       34.68474638      0.1285749744       34.65015225   0.0001336907773   1.634448449e-05   0.0001380190713
          0.02037       34.83474727      0.1285959838       34.73733471   0.0001164397036   1.508582973e-05   0.0001273696972
          0.02098        34.7396923      0.1286122238       34.80240262   0.0001270934239    1.42100917e-05   0.0001199606894
           0.0208       34.66650722      0.1286074301       34.78339817   0.0001359556034   1.446047208e-05   0.0001220789348
          0.02041       34.76833212      0.1285970483        34.7416599   0.0001237847529   1.502597698e-05   0.0001268633102
          0.02168       35.01473322      0.1286308787       34.87481302   9.865218534e-05   1.329522549e-05   0.0001122211697
          0.02157       34.79283553      0.1286279459       34.86358807   0.0001210224074   1.343308576e-05   0.0001133873937
          0.02205       34.95290855      0.1286407473       34.91216246   0.0001044327177   1.284663103e-05   0.0001084263945
          0.02195       34.99834077      0.1286380796       34.90212921   0.0001001529377    1.29656276e-05   0.0001094330027
          0.02248       34.87752638      0.1286522232       34.95480123   0.0001119410685    1.23530012e-05   0.0001042508268
           0.0233       35.03974456      0.1286741286       35.03393335   9.640558096e-05   1.148665491e-05   9.692295759e-05
          0.02298       35.06606626      0.1286655769       35.00338346   9.409650595e-05   1.181366549e-05   9.968885727e-05
          0.02242       34.79940336      0.1286506215       34.94890006   0.0001202925297   1.242017012e-05   0.0001048189913
          0.02303       35.25502947      0.1286669128       35.00818435   7.906571701e-05   1.176166536e-05   9.924902707e-05
          0.02458       35.12267703      0.1287083774       35.15214237   8.931598423e-05   1.030446737e-05    8.69246705e-05
          0.02345       35.07781849      0.1286781386       35.04811185   9.308347834e-05   1.133798066e-05   9.566548149e-05
          0.02493       35.23040441       0.128717754       35.18341223   8.087945879e-05   1.001265477e-05    8.44568947e-05
          0.02355       34.95897121      0.1286808125       35.05751471   0.0001038511997   1.124044719e-05    9.48405612e-05
          0.02379       35.11236506      0.1286872315       35.07992237   9.016831919e-05   1.101139111e-05   9.290328069e-05
          0.02335       35.19530046      0.1286754652       35.03866947   8.353718132e-05   1.143677666e-05   9.650108874e-05
          0.02389       34.91400749      0.1286899068       35.08919338   0.0001082422978   1.091799312e-05   9.211336542e-05
          0.02418       35.18170133      0.1286976674       35.11586512   8.459008616e-05    1.06536962e-05   8.987811444e-05
          0.02389       34.87433042      0.1286899068       35.08919338   0.0001122710627   1.091799312e-05   9.211336542e-05
          0.02473       34.89135365      0.1287123953       35.16559696   0.0001105244955   1.017787865e-05   8.585413477e-05
          0.02472       35.14449756      0.1287121274       35.16470249   8.753887822e-05   1.018624586e-05   8.592489415e-05
          0.02517       35.34026203      0.1287241866       35.20460613   7.309626544e-05   9.819590629e-06   8.282425663e-05
          0.02655       35.26019862      0.1287612196       35.32274805   7.869018225e-05   8.809708526e-06   7.428494024e-05
          0.02761       35.21657868      0.1287897181       35.40947142   8.191596015e-05   8.135201299e-06   6.858220294e-05
          0.02549       35.29547921       0.128732767       35.23255798   7.617427254e-05   9.570653458e-06   8.071919222e-05
          0.02687       35.48598172       0.128769818       35.34928146     6.3915665e-05   8.597598841e-06   7.249155491e-05
          0.02741       35.36002197      0.1287843375       35.39336138   7.177797641e-05   8.256465599e-06   6.960740567e-05
           0.0267       35.08482379      0.1287652496       35.33522444   9.248482565e-05   8.709326644e-06   7.343620494e-05
          0.02707        35.5410412      0.1287751942       35.36570785   6.075520886e-05   8.468856105e-06   7.140306595e-05
          0.02767       35.43355884      0.1287913326       35.41428212   6.707743788e-05    8.09933697e-06   6.827899988e-05
          0.02774       35.45586514      0.1287932164       35.41988169   6.571340064e-05   8.057790874e-06    6.79277646e-05
          0.02856       35.44757181      0.1288152983       35.48446425   6.621727087e-05   7.593769748e-06   6.400505885e-05
           0.0291       35.49351171       0.128829855        35.5260091   6.347391953e-05   7.309514969e-06   6.160221977e-05
          0.03035       35.78055275      0.1288635969       35.61935101   4.872803531e-05   6.709119468e-06   5.652747622e-05
          0.03071       35.84126891      0.1288733264       35.64553579   4.607787418e-05   6.549745168e-06   5.518050679e-05
          0.02951       35.64284583      0.1288409153       35.55705099    5.53173883e-05   7.104100299e-06   5.986591199e-05
          0.03041       35.89008977      0.1288652181       35.62373618   4.405184375e-05   6.682160759e-06   5.629962816e-05
          0.03032        35.6241936      0.1288627863       35.61715524    5.62759143e-05   6.722659296e-06   5.664191189e-05
          0.03052       35.69468803      0.1288681907       35.63175372    5.27381376e-05   6.633151627e-06    5.58854193e-05
          0.03147       35.74360011      0.1288938838       35.69984212   5.041502141e-05    6.23119213e-06   5.248837801e-05
          0.03251       35.84975282      0.1289220531       35.77211286   4.571922627e-05     5.8311975e-06   4.910829521e-05
          0.03162       35.81449341      0.1288979439        35.7104087   4.722833519e-05    6.17103758e-06   5.198002945e-05
          0.03176       35.69213889      0.1289017342       35.72022669   5.286210392e-05   6.115666076e-06   5.151210815e-05
          0.03323       35.88955574      0.1289415808       35.82083411   4.407351646e-05   5.576157424e-06   4.695332539e-05
          0.03147        35.6088074      0.1288938838       35.69984212   5.707909016e-05    6.23119213e-06   5.248837801e-05
          0.03315       35.77992045        0.12893941       35.81547186   4.875642102e-05   5.603670805e-06   4.718579271e-05
          0.03411       35.85954441      0.1289654766       35.87900028   4.530876613e-05   5.286266257e-06   4.450408601e-05
            0.035       35.96766606       0.128989676       35.93635537   4.101413686e-05   5.015202627e-06   4.221413087e-05
          0.03365       35.87401635      0.1289529817       35.84878058   4.470884581e-05   5.434941008e-06   4.576018442e-05
          0.03481       35.83366545      0.1289845072       35.92423153   4.640169235e-05   5.071315324e-06   4.268815514e-05
          0.03573       36.09672379      0.1290095491       35.98234641   3.641752988e-05   4.807939275e-06   4.046331282e-05
          0.03501       36.02715313      0.1289899481       35.93699168   3.882743931e-05   5.012274809e-06   4.218939776e-05
          0.03489       36.03524774      0.1289866834       35.92934416   3.853904091e-05   5.047576285e-06   4.248761327e-05
          0.03693       35.77000642      0.1290422642       36.05599218    4.92036628e-05   4.493769394e-06   3.780969094e-05
          0.03701       36.06457123      0.1290444473       36.06081857   3.751211144e-05   4.473913401e-06   3.764198971e-05
          0.03711        35.9477399      0.1290471765       36.06683727   4.177380535e-05   4.449275286e-06   3.743390125e-05
          0.03905       36.14332951      0.1291002039       36.18057463   3.488736711e-05   4.008415714e-06   3.371088452e-05
          0.03812       36.05765457      0.1290747645       36.12675517   3.775184431e-05   4.211288116e-06   3.542402727e-05
          0.03922       36.05052893      0.1291048579       36.19027748   3.800042258e-05   3.972896706e-06   3.341096425e-05
          0.04026       36.12275408       0.129133355       36.24875924   3.555481042e-05   3.765393922e-06    3.16589351e-05
          0.04072       36.03798282      0.1291459735       36.27415863   3.844207961e-05   3.678689208e-06   3.092691124e-05
          0.04243       36.34262577      0.1291929566       36.36619211   2.903686287e-05   3.380941629e-06   2.841339675e-05
          0.04186       36.15907436      0.1291772824       36.33592143   3.438509704e-05   3.476107925e-06   2.921671796e-05
          0.04674       36.69264427       0.129311901       36.58306408   2.103498914e-05    2.77133191e-06   2.326882033e-05
          0.04497       36.54759339      0.1292629628       36.49645018   2.404156006e-05   3.000334773e-06   2.520112504e-05
          0.04928       36.76064443      0.1293823496       36.70195786   1.975796579e-05   2.485235632e-06   2.085531999e-05
          0.04904       36.90132525      0.1293756819       36.69098087   1.735680963e-05   2.510359871e-06   2.106724044e-05
          0.04953       36.75436118      0.1293892976       36.71333732   1.987263826e-05   2.459456293e-06   2.063787956e-05
          0.05309       36.88001515      0.1294885102       36.86961632   1.770084266e-05   2.131377551e-06   1.787119003e-05
          0.05492       36.66586318      0.1295397084       36.94605078   2.156029641e-05   1.987276434e-06   1.665634422e-05
          0.05367       37.12236623      0.1295047224       36.89411332   1.415968224e-05   2.084087545e-06   1.747248486e-05
          0.05942       37.25244952      0.1296661775        37.1240265   1.256088368e-05   1.688463928e-06   1.413804628e-05
          0.05848       37.12376595      0.1296396924       37.08794888   1.414143957e-05   1.745155458e-06   1.461572786e-05
            0.063        37.2000269      0.1297673701       37.25657499   1.318224073e-05   1.495585297e-06   1.251324661e-05
