###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_temp/mock_snls3_A5000.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0.033
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0
#	max redshift of sne = 1.39
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
          0.01029       33.15397346      0.1283298412       33.23787407   0.0005475333985   5.990370863e-05   0.0005068160659
          0.01006       33.01469709      0.1283238174       33.18840585   0.0006224739243   6.269322517e-05   0.0005304417041
          0.01055       33.40713134      0.1283366533       33.29249032   0.0004336581029   5.696790697e-05   0.0004819520963
          0.01113       33.41449262      0.1283518597       33.40966432    0.000430727848   5.114605238e-05   0.0004326475745
           0.0109       33.47206895       0.128345828        33.3639402    0.000408481527   5.334348116e-05   0.0004512569649
          0.01231       33.58446869      0.1283828398       33.63043027   0.0003683091617   4.174558477e-05   0.0003530432326
          0.01334       33.66371607      0.1284099287       33.80661981   0.0003423840859   3.549983698e-05   0.0003001594867
          0.01426       33.88349199      0.1284341615       33.95295516   0.0002796425185   3.102945677e-05   0.0002623118665
          0.01457       34.07206422      0.1284423348       34.00016594   0.0002350576085   2.971101544e-05    0.000251150255
          0.01443       33.91259815      0.1284386432       33.97896925   0.0002722455176    3.02958882e-05   0.0002561016051
          0.01366       33.71580894      0.1284183535         33.858622   0.0003263445959   3.384184074e-05   0.0002861219656
           0.0147       34.00257053      0.1284457635       34.01966893    0.000250594646   2.918286269e-05   0.0002466791408
          0.01354       33.78268352      0.1284151937       33.83926392   0.0003068503287   3.444978572e-05   0.0002912691133
          0.01557       34.10599844      0.1284687273       34.14595693   0.0002278246048     2.5983062e-05    0.000219592361
           0.0138       33.90581429      0.1284220407       33.88099479   0.0002739518805   3.315258006e-05   0.0002802864388
          0.01415       33.93151928      0.1284312623       33.93595847   0.0002675421967   3.151831868e-05    0.000266450544
          0.01515       34.41636487      0.1284576374       34.08588614   0.0001711804067   2.745877477e-05   0.0002320841836
          0.01446       34.08958446      0.1284394342       33.98352847   0.0002312949854   3.016912219e-05   0.0002550284376
          0.01578        34.3007669      0.1284742749       34.17539415   0.0001904115282    2.52891479e-05     0.00021371861
          0.01497       34.07245819      0.1284528869       34.05963575   0.0002349723311   2.812970965e-05   0.0002377637821
          0.01471       34.06137317      0.1284460273       34.02116209   0.0002373836117   2.914281647e-05   0.0002463401292
          0.01555       34.03978086       0.128468199       34.14313294   0.0002421517744   2.605062446e-05   0.0002201642613
          0.01549        34.1166638      0.1284666143       34.13463939   0.0002255976019   2.625488998e-05    0.000221893328
           0.0155       34.01790227      0.1284668784       34.13605724   0.0002470808526   2.622068034e-05   0.0002216037496
          0.01548       34.09000825      0.1284663502       34.13322064   0.0002312047218   2.628916616e-05   0.0002221834702
          0.01564       34.20479092      0.1284705763       34.15581272   0.0002080097216   2.574863821e-05   0.0002176080278
           0.0155       33.89598081      0.1284668784       34.13605724    0.000276444323   2.622068034e-05   0.0002216037496
          0.01601        34.3640574       0.128480353       34.20719386   0.0001796292433   2.456036727e-05   0.0002075498652
          0.01697       34.55686629      0.1285057459       34.33522297   0.0001504019559   2.183277994e-05   0.0001844636555
          0.01737       34.24009687      0.1285163374        34.3864691   0.0002013544595   2.082794303e-05   0.0001759593548
          0.01706       34.33893135      0.1285081284       34.34685658   0.0001838346878   2.160049208e-05   0.0001824976878
           0.0175       34.24210812      0.1285197811       34.40287345   0.0002009818092   2.051616953e-05   0.0001733207749
          0.01745       34.49776827      0.1285184565       34.39657836   0.0001588154295   2.063525478e-05   0.0001743286047
          0.01768       34.37788898      0.1285245504       34.42538963   0.0001773553971   2.009582871e-05   0.0001697634322
          0.01858       34.49630272       0.128548417       34.53468135    0.000159029946    1.81748098e-05   0.0001535067446
          0.01892       34.71415701      0.1285574419       34.57461497    0.000130117945   1.751971001e-05   0.0001479633009
          0.01958       34.68726931      0.1285749744       34.65015225   0.0001333804796   1.634448449e-05   0.0001380190713
          0.02037       34.68119354      0.1285959838       34.73733471   0.0001341289683   1.508582974e-05   0.0001273696972
          0.02098       34.89131752      0.1286122238       34.80240262   0.0001105281732    1.42100917e-05   0.0001199606894
           0.0208       34.68920183      0.1286074301       34.78339817   0.0001331432848   1.446047208e-05   0.0001220789348
          0.02041       34.77069946      0.1285970483        34.7416599   0.0001235151465   1.502597698e-05   0.0001268633102
          0.02168       34.90966366      0.1286308787       34.87481302   0.0001086762227   1.329522549e-05   0.0001122211697
          0.02157       34.88705385      0.1286279459       34.86358807   0.0001109630691   1.343308576e-05   0.0001133873937
          0.02205       34.69056844      0.1286407473       34.91216246   0.0001329758032   1.284663103e-05   0.0001084263945
          0.02195       34.87376067      0.1286380796       34.90212921   0.0001123299933    1.29656276e-05   0.0001094330027
          0.02248       34.89163153      0.1286522232       34.95480123   0.0001104962117    1.23530012e-05   0.0001042508268
           0.0233       34.88205027      0.1286741286       35.03393335   0.0001114756186   1.148665491e-05   9.692295759e-05
          0.02298       35.19889307      0.1286655769       35.00338346   8.326122055e-05   1.181366549e-05   9.968885727e-05
          0.02242       34.98788658      0.1286506215       34.94890006   0.0001011219342   1.242017012e-05   0.0001048189913
