###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_temp/mock_snls3_AAAA.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0.033
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0
#	max redshift of sne = 1.39
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
          0.01029       33.11491142      0.1283298412       33.23787412   0.0005675909091   5.990370569e-05   0.0005068160411
          0.01006       33.28291326      0.1283238174        33.1884059   0.0004862221005   6.269322183e-05   0.0005304416758
          0.01055       33.27165438      0.1283366533       33.29249036   0.0004912903645   5.696790459e-05   0.0004819520762
          0.01113       33.46787525      0.1283518597       33.40966434   0.0004100623534   5.114605108e-05   0.0004326475635
           0.0109       33.27285838       0.128345828       33.36394024   0.0004907458643    5.33434795e-05   0.0004512569508
          0.01231       33.48031168      0.1283828398       33.63043029   0.0004053921452   4.174558397e-05   0.0003530432259
          0.01334       33.84625151      0.1284099287       33.80661984   0.0002894005804   3.549983619e-05     0.00030015948
          0.01426       33.92250371      0.1284341615       33.95295518   0.0002697730221   3.102945612e-05    0.000262311861
          0.01457       33.90328306      0.1284423348       34.00016596    0.000274591303   2.971101485e-05     0.00025115025
          0.01443       33.79283824      0.1284386432       33.97896927   0.0003039937833   3.029588759e-05   0.0002561015999
          0.01366       33.97614036      0.1284183535       33.85862202   0.0002567697496   3.384183999e-05   0.0002861219592
           0.0147       33.92238395      0.1284457635       34.01966895   0.0002698027795   2.918286212e-05    0.000246679136
          0.01354       33.91324707      0.1284151937       33.83926394   0.0002720828513   3.444978495e-05   0.0002912691068
          0.01557       34.21093039      0.1284687273       34.14595695   0.0002068368152   2.598306154e-05    0.000219592357
           0.0138       33.66503597      0.1284220407       33.88099481   0.0003419681119   3.315257933e-05   0.0002802864326
          0.01415       33.74329334      0.1284312623       33.93595849   0.0003181871708   3.151831802e-05   0.0002664505384
          0.01515       34.05599747      0.1284576374       34.08588616   0.0002385618589   2.745877425e-05   0.0002320841792
          0.01446       33.98549845      0.1284394342        33.9835285   0.0002545661291   3.016912158e-05   0.0002550284325
          0.01578       34.03186847      0.1284742749       34.17539417   0.0002439229219   2.528914745e-05   0.0002137186062
          0.01497       33.89414214      0.1284528869       34.05963577   0.0002769128723   2.812970912e-05   0.0002377637776
          0.01471       33.89590581      0.1284460273       34.02116211   0.0002764634192    2.91428159e-05   0.0002463401244
          0.01555       34.04564871       0.128468199       34.14313296   0.0002408465974   2.605062399e-05   0.0002201642573
          0.01549       33.99996926      0.1284666143       34.13463941   0.0002511957548    2.62548895e-05    0.000221893324
           0.0155       34.03043345      0.1284668784       34.13605726   0.0002442455281   2.622067987e-05   0.0002216037456
          0.01548       34.21656709      0.1284663502       34.13322066   0.0002057657866   2.628916569e-05   0.0002221834661
          0.01564       34.32645498      0.1284705763       34.15581274   0.0001859593451   2.574863775e-05   0.0002176080239
           0.0155       34.01392878      0.1284668784       34.13605726   0.0002479867571   2.622067987e-05   0.0002216037456
          0.01601       34.17742694       0.128480353       34.20719388   0.0002133188452   2.456036683e-05   0.0002075498616
          0.01697       34.58328401      0.1285057459       34.33522299   0.0001467865953   2.183277957e-05   0.0001844636524
          0.01737       34.27229389      0.1285163374       34.38646912   0.0001954710491   2.082794269e-05   0.0001759593519
          0.01706       34.25689188      0.1285081284        34.3468566   0.0001982637181   2.160049172e-05   0.0001824976847
           0.0175       34.56671505      0.1285197811       34.40287346   0.0001490438226    2.05161692e-05    0.000173320772
          0.01745       34.35718957      0.1285184565       34.39657838   0.0001807690896   2.063525444e-05   0.0001743286019
          0.01768        34.2642792      0.1285245504       34.42538965   0.0001969193167   2.009582839e-05   0.0001697634294
          0.01858       34.49637698       0.128548417       34.53468136   0.0001590190697   1.817480952e-05   0.0001535067423
          0.01892       34.68338677      0.1285574419       34.57461499   0.0001338582957   1.751970975e-05   0.0001479632987
          0.01958       34.60950819      0.1285749744       34.65015226   0.0001432836787   1.634448425e-05   0.0001380190693
          0.02037       34.71915534      0.1285959838       34.73733472    0.000129520307   1.508582952e-05   0.0001273696954
          0.02098       34.75801111      0.1286122238       34.80240263   0.0001249670611   1.421009151e-05   0.0001199606877
           0.0208       34.57470573      0.1286074301       34.78339819   0.0001479509327   1.446047188e-05   0.0001220789331
          0.02041        34.7995284      0.1285970483       34.74165992   0.0001202786764   1.502597677e-05   0.0001268633084
          0.02168       34.75234626      0.1286308787       34.87481304   0.0001256207833   1.329522532e-05   0.0001122211682
          0.02157       34.65294525      0.1286279459       34.86358808   0.0001376644806   1.343308558e-05   0.0001133873922
          0.02205       35.00146374      0.1286407473       34.91216247   9.986527501e-05   1.284663087e-05   0.0001084263931
          0.02195       35.11268563      0.1286380796       34.90212922   9.014170058e-05   1.296562744e-05   0.0001094330013
          0.02248       35.00688747      0.1286522232       34.95480124   9.936764839e-05   1.235300104e-05   0.0001042508255
           0.0233       35.40041394      0.1286741286       35.03393337   6.915672618e-05   1.148665477e-05    9.69229564e-05
          0.02298       34.73049748      0.1286655769       35.00338347   0.0001281743154   1.181366534e-05   9.968885603e-05
          0.02242        35.0585569      0.1286506215       34.94890007   9.474956867e-05   1.242016996e-05   0.0001048189899
          0.02303        35.1280843      0.1286669128       35.00818437   8.887227143e-05   1.176166522e-05   9.924902584e-05
          0.02458       35.16421873      0.1287083774       35.15214238   8.596318707e-05   1.030446725e-05   8.692466948e-05
          0.02345       35.15410431      0.1286781386       35.04811186   8.676773825e-05   1.133798052e-05   9.566548032e-05
          0.02493       35.20812577       0.128717754       35.18341224    8.25561997e-05   1.001265466e-05   8.445689373e-05
          0.02355       35.16820488      0.1286808125       35.05751473   8.564816239e-05   1.124044706e-05   9.484056005e-05
          0.02379       35.18097357      0.1286872315       35.07992239   8.464680521e-05   1.101139098e-05   9.290327958e-05
          0.02335       35.32034834      0.1286754652       35.03866948   7.444930806e-05   1.143677652e-05   9.650108756e-05
          0.02389       34.99986266      0.1286899068       35.08919339   0.0001000126502   1.091799299e-05   9.211336432e-05
          0.02418        35.2828989      0.1286976674       35.11586513     7.7062029e-05   1.065369608e-05   8.987811338e-05
          0.02389       35.11718353      0.1286899068       35.08919339   8.976904162e-05   1.091799299e-05   9.211336432e-05
          0.02473       34.97891727      0.1287123953       35.16559697   0.0001019607661   1.017787853e-05   8.585413378e-05
          0.02472       35.22268037      0.1287121274        35.1647025   8.145689543e-05   1.018624575e-05   8.592489316e-05
          0.02517       35.12451744      0.1287241866       35.20460615   8.916471473e-05   9.819590517e-06   8.282425569e-05
          0.02655       35.31310948      0.1287612196       35.32274807    7.49473371e-05   8.809708432e-06   7.428493945e-05
          0.02761       35.39115601      0.1287897181       35.40947143    6.97489374e-05   8.135201214e-06   6.858220223e-05
          0.02549        35.4869642       0.128732767       35.23255799   6.385785388e-05   9.570653351e-06   8.071919131e-05
          0.02687       35.30388829       0.128769818       35.34928147    7.55865783e-05    8.59759875e-06   7.249155414e-05
          0.02741       35.53029258      0.1287843375       35.39336139    6.13596635e-05   8.256465513e-06   6.960740495e-05
           0.0267       35.26079267      0.1287652496       35.33522445   7.864713954e-05   8.709326551e-06   7.343620415e-05
          0.02707       35.04163233      0.1287751942       35.36570786   9.623810632e-05   8.468856015e-06   7.140306519e-05
          0.02767       35.61730164      0.1287913326       35.41428213   5.663427487e-05   8.099336886e-06   6.827899917e-05
          0.02774       35.41447691      0.1287932164        35.4198817   6.826675154e-05   8.057790791e-06    6.79277639e-05
          0.02856       35.41831081      0.1288152983       35.48446426   6.802611617e-05   7.593769672e-06   6.400505821e-05
           0.0291       35.51416789       0.128829855       35.52600911   6.227773994e-05   7.309514898e-06   6.160221916e-05
          0.03035       35.45397295      0.1288635969       35.61935102   6.582802439e-05   6.709119405e-06   5.652747569e-05
          0.03071       35.65104047      0.1288733264        35.6455358    5.49014498e-05   6.549745107e-06   5.518050628e-05
          0.02951       35.51608891      0.1288409153         35.557051   6.216764812e-05    7.10410023e-06   5.986591141e-05
          0.03041       35.70133114      0.1288652181       35.62373619   5.241644266e-05   6.682160696e-06   5.629962763e-05
          0.03032       35.74985453      0.1288627863       35.61715525   5.012543902e-05   6.722659232e-06   5.664191136e-05
          0.03052       35.79804012      0.1288681907       35.63175373   4.794948556e-05   6.633151564e-06   5.588541878e-05
          0.03147       35.73925988      0.1288938838       35.69984213   5.061695858e-05   6.231192073e-06   5.248837753e-05
          0.03251        35.7636007      0.1289220531       35.77211286   4.949481652e-05   5.831197449e-06   4.910829478e-05
          0.03162       35.59131367      0.1288979439       35.71040871   5.800621538e-05   6.171037524e-06   5.198002898e-05
          0.03176        35.6946541      0.1289017342        35.7202267   5.273978578e-05    6.11566602e-06   5.151210768e-05
          0.03323       35.79365585      0.1289415808       35.82083412   4.814349995e-05   5.576157376e-06   4.695332499e-05
          0.03147       35.25973304      0.1288938838       35.69984213   7.872393284e-05   6.231192073e-06   5.248837753e-05
          0.03315       35.83061124        0.12893941       35.81547187   4.653240544e-05   5.603670756e-06   4.718579231e-05
          0.03411       35.94199419      0.1289654766       35.87900029   4.199545801e-05   5.286266212e-06   4.450408564e-05
            0.035       36.04150683       0.128989676       35.93635538    3.83175089e-05   5.015202586e-06   4.221413053e-05
          0.03365       35.93998518      0.1289529817       35.84878059   4.207323731e-05   5.434940961e-06   4.576018403e-05
          0.03481       36.06565195      0.1289845072       35.92423154    3.74747909e-05   5.071315282e-06   4.268815479e-05
          0.03573       35.93482861      0.1290095491       35.98234642   4.227353385e-05   4.807939237e-06    4.04633125e-05
          0.03501       35.77899596      0.1289899481       35.93699169   4.879795444e-05   5.012274768e-06   4.218939742e-05
          0.03489       36.15496647      0.1289866834       35.92934417   3.451543968e-05   5.047576243e-06   4.248761292e-05
          0.03693       36.10789558      0.1290422642       36.05599219   3.604472938e-05   4.493769359e-06   3.780969064e-05
          0.03701       36.18986144      0.1290444473       36.06081858   3.342376932e-05   4.473913366e-06   3.764198942e-05
          0.03711       36.05755053      0.1290471765       36.06683728   3.775546203e-05   4.449275251e-06   3.743390097e-05
          0.03905        36.1829631      0.1291002039       36.18057464   3.363680686e-05   4.008415684e-06   3.371088427e-05
          0.03812       35.90333137      0.1290747645       36.12675517   4.351785223e-05   4.211288084e-06     3.5424027e-05
          0.03922       36.27903266      0.1291048579       36.19027748   3.078838693e-05   3.972896677e-06     3.3410964e-05
          0.04026       36.43607379       0.129133355       36.24875925   2.664222453e-05   3.765393895e-06   3.165893488e-05
          0.04072        36.1527093      0.1291459735       36.27415864   3.458726974e-05   3.678689182e-06   3.092691102e-05
          0.04243       36.47529943      0.1291929566       36.36619212   2.569687007e-05   3.380941606e-06   2.841339656e-05
          0.04186       36.19980881      0.1291772824       36.33592144   3.311894362e-05   3.476107901e-06   2.921671776e-05
          0.04674       36.50593918       0.129311901       36.58306409    2.49818346e-05   2.771331893e-06   2.326882018e-05
          0.04497       36.79195277      0.1292629628       36.49645018    1.91963603e-05   3.000334753e-06   2.520112488e-05
          0.04928       36.79859904      0.1293823496       36.70195786   1.907920989e-05   2.485235618e-06   2.085531987e-05
          0.04904       36.58261127      0.1293756819       36.69098088   2.327852683e-05   2.510359856e-06   2.106724032e-05
          0.04953       36.85639078      0.1293892976       36.71333732   1.809021337e-05   2.459456278e-06   2.063787944e-05
          0.05309       36.80821981      0.1294885102       36.86961632   1.891089462e-05    2.13137754e-06   1.787118993e-05
          0.05492       36.93776472      0.1295397084       36.94605079   1.678394753e-05   1.987276423e-06   1.665634413e-05
          0.05367       36.79445566      0.1295047224       36.89411332   1.915215897e-05   2.084087534e-06   1.747248477e-05
          0.05942       37.25609223      0.1296661775       37.12402651   1.251881176e-05    1.68846392e-06   1.413804621e-05
          0.05848       37.14829996      0.1296396924       37.08794889   1.382547361e-05    1.74515545e-06   1.461572779e-05
            0.063       37.26054681      0.1297673701         37.256575   1.246755451e-05    1.49558529e-06   1.251324655e-05
          0.06337       37.38776994      0.1297778578       37.26985853   1.108899079e-05     1.4775183e-06   1.236108485e-05
          0.06513       37.17273695        0.12982782       37.33204189    1.35177752e-05   1.395811233e-06    1.16730204e-05
          0.06297       37.19030659        0.12976652       37.25549467   1.330078774e-05   1.497064358e-06   1.252570366e-05
            0.065        37.2709297      0.1298241254       37.32750434   1.234889566e-05   1.401616976e-06   1.172190679e-05
            0.067       37.09832336      0.1298810403       37.39636808    1.44767361e-05   1.316055501e-06   1.100152187e-05
          0.06905       37.36584113      0.1299395435       37.46493631   1.131523417e-05   1.236068363e-06   1.032821985e-05
          0.07009       37.41455203      0.1299692872       37.49897946   1.081880243e-05   1.198187078e-06   1.000940391e-05
          0.06793       37.37317702        0.12990756       37.42772043   1.123903939e-05   1.278856844e-06   1.068837854e-05
          0.07461       37.75415339      0.1300990572       37.64152947   7.912954034e-06    1.05181181e-06   8.777851183e-06
          0.07529       37.36638403      0.1301186503       37.66225672   1.130957766e-05   1.032078052e-06   8.611866975e-06
          0.07823       37.78723262      0.1302035724       37.74986122   7.675504869e-06    9.52695454e-07   7.944297741e-06
          0.07888        37.8154876      0.1302223939       37.76880474   7.478335732e-06   9.363526823e-07   7.806890788e-06
           0.0801       37.69139202      0.1302577655       37.80396161   8.383844077e-06   9.067648131e-07    7.55814736e-06
            0.087       37.94914163      0.1304589236       37.99367885   6.612159883e-06    7.62566865e-07   6.346414881e-06
            0.087       37.88456491      0.1304589236       37.99367885   7.017364496e-06    7.62566865e-07   6.346414881e-06
             0.09       38.14894213      0.1305469682       38.07173484   5.500765708e-06   7.101474553e-07   5.906171654e-06
            0.095       37.94548518      0.1306944939       38.19649791   6.634465343e-06   6.337731064e-07   5.265029818e-06
            0.104       38.34687888      0.1309625024       38.40615963   4.584040539e-06   5.235507568e-07   4.340463884e-06
            0.108       38.49769173      0.1310826293       38.49388643   3.989544455e-06   4.833550408e-07    4.00355158e-06
             0.11       38.45189462      0.1311429255       38.53660625   4.161425772e-06   4.649198062e-07   3.849084989e-06
            0.116       38.52572426      0.1313247425       38.66050989    3.88785713e-06   4.153538887e-07   3.433966412e-06
            0.117       38.89450404      0.1313551804       38.68057176   2.768205854e-06    4.07844098e-07   3.371097369e-06
            0.118       38.62421708      0.1313856569       38.70047299   3.550693375e-06    4.00529436e-07   3.309868977e-06
            0.119       38.90186213      0.1314161719       38.72021628   2.749509006e-06   3.934032828e-07   3.250225456e-06
            0.121       38.83559903      0.1314773172        38.7592394   2.922539489e-06   3.796913942e-07    3.13548148e-06
            0.124       38.84404266      0.1315693234       38.81665274   2.899899434e-06   3.603870897e-07   2.973985887e-06
           0.1242       38.87602897      0.1315754694       38.82043378   2.815713171e-06   3.591510128e-07   2.963647094e-06
            0.125       38.79310071      0.1316000689       38.83550103   3.039203046e-06   3.542675598e-07   2.922803303e-06
