###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_temp/mock_snls3_amin_1E-6_interpsize_1000.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0.033
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0
#	max redshift of sne = 1.39
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
          0.01029       33.35830207      0.1283298412       33.23842567   0.0004536063999   5.987328228e-05   0.0005065586435
          0.01006       33.11447464      0.1283238174       33.18900905   0.0005678192918   6.265840412e-05   0.0005301470863
          0.01055       33.08498578      0.1283366533       33.29298589   0.0005834527472   5.694191065e-05   0.0004817321657
          0.01113       33.40447652      0.1283518597       33.41004364   0.0004347197714   5.112818672e-05   0.0004324964478
           0.0109       33.51022619       0.128345828       33.36436418   0.0003943751346   5.332265494e-05   0.0004510807864
          0.01231         33.859318      0.1283828398       33.63061037    0.000285938609   4.173866079e-05   0.0003529846764
          0.01334       33.77439284      0.1284099287       33.80666672   0.0003092024048   3.549830341e-05     0.00030014652
          0.01426       33.71842771      0.1284341615       33.95291499   0.0003255584066   3.103060484e-05   0.0002623215718
          0.01457       34.02586525      0.1284423348       34.00010287   0.0002452753488   2.971274138e-05   0.0002511648445
          0.01443       34.07246054      0.1284386432       33.97891615   0.0002349718221   3.029736985e-05     0.00025611413
          0.01366       33.94502011      0.1284183535       33.85863522   0.0002642359808   3.384142857e-05   0.0002861184809
           0.0147       33.99371984      0.1284457635       34.01959713   0.0002526457897   2.918479277e-05   0.0002466954556
          0.01354       33.85151231      0.1284151937       33.83928934   0.0002880017173   3.444897896e-05   0.0002912622922
          0.01557       34.25699894      0.1284687273       34.14583838   0.0001982441706    2.59858992e-05   0.0002196163392
           0.0138       33.97099058      0.1284220407       33.88099442   0.0002579905322   3.315259124e-05   0.0002802865333
          0.01415       33.61488561      0.1284312623       33.93592716   0.0003581341672   3.151922759e-05   0.0002664582278
          0.01515       34.20545837      0.1284576374       34.08578774   0.0002078818886   2.746126339e-05   0.0002321052177
          0.01446       33.98829335      0.1284394342       33.98347319   0.0002539116678   3.017065842e-05   0.0002550414238
          0.01578       34.19055567      0.1284742749       34.17526705   0.0002107549254    2.52921084e-05   0.0002137436293
          0.01497       33.95511394      0.1284528869       34.05954733   0.0002617908272   2.813200045e-05   0.0002377831449
          0.01471        33.8855852      0.1284460273       34.02108963   0.0002791039098    2.91447614e-05   0.0002463565694
          0.01555       34.16745318       0.128468199       34.14301526   0.0002152874576   2.605344828e-05   0.0002201881265
          0.01549       34.22019833      0.1284666143       34.13452436   0.0002050787521   2.625767184e-05   0.0002219168389
           0.0155        34.0177844      0.1284668784       34.13594176    0.000247107678   2.622346939e-05   0.0002216273212
          0.01548       34.20556985      0.1284663502       34.13310605   0.0002078605439   2.629194076e-05   0.0002222069197
